mapel,soal,jawaban,keterangan,skor
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra klasik melayu hikayat juga termasuk ke dalam cerita rakyat cerita kraan cerita silsilah udd bersifat keagamaan dan dan lain lain,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,menjelaskan suatu penemuan lama dan di jelaskan penerima lama itu dengan secara detail,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah teks berisi cerita laman atau fiksi yang menggunakan bahasa melayu lama,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,teks yang berisi tentang aneka lucu serta pelajaran penting,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat cerita tradisional tentang tokoh luar biasanya dengan unsur fantasi,jawaban siswa,0
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita tradisional tentang tokoh luar biasa dengan unsur positif,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,muslim,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,adalah karya sastra prosa melayu lama yang berisi cerita undang undang yang bersifat keagamaan rekaan dan historis,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah cerita klasik yang berisi tentang tokoh hebat biasanya banyak kejadian,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat merupakan karya sastra melayu klasik berupa prosa,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra lama yang berisi cerita tntang tokoh tokoh sprti raja putri dan lain lain,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,karya satra lama berbentuk prosa yang berisi cerita kehidupan tokoh dengan unsur keajaiban,jawaban siswa,10
bahasa indonesia,apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,karya satsra lama mlayu berbentuk prosa yang berisi cerita,jawaban siswa,10
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho agar lebih mudah dalam meneliti mendeskripsikan,jawaban siswa,0
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho adalah secara singkat pengertian teks yang berisi penjabaran umum pesan yang biasanya di sampaikan penulis ialah objek sistematis bahasa baku ilmiah,jawaban siswa,10
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat karena menceritakkan kisah kisah jaman dulu,jawaban siswa,0
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,penulis dapat mengirim pesan berupa pujian kritikan dengan hal lucu dan sarkas kepada siapa saja,jawaban siswa,10
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral nilai budaya nilai sosial,jawaban siswa,0
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,untuk memikir sesuatu,jawaban siswa,10
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho menceritakan suatu cerita yang dibuat,jawaban siswa,10
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat karean menceritakan kisah kisah jaman dulu,jawaban siswa,10
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,teks anekdot menyampaikan pesan kritikan sindiran yang disampaikan penulis lewat cerita humoris lelucon,jawaban siswa,10
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,teks anekdok pesan yang disampaikan jangan bersikap tidak adil di hadapan publik,jawaban siswa,10
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho jangan buang sampah sembarangan karena menyebabkan banjir,jawaban siswa,0
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,pembahasan jurusan menggunakan bhs baku secara sistem,jawaban siswa,0
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,poin utama kelebihan dan kesetiaan terhadap tanah air,jawaban siswa,0
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral krisis sosial informasi penting pelajaran hidup yang ingin disampaikan si penulis,jawaban siswa,0
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral krisis sosial informasi penting pelajaran hidup yang disampaikan si penulis,jawaban siswa,0
bahasa indonesia,dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho berisi fakta kenyataan karena tidak buatan dan penyampaian yang di beri berakurat atau tidak bohong dan tidak fiksi di buat buat,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot cerita singkat yang lucu atau menyindir,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks berisi cerita singkat,jawaban siswa,0
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat yang lucu dan mengsankan biasanya berdasarkan kejadian nyata,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot teks yang menjelaskan tentang kritikan pesan moral,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat yang berisi pujian keritikan pada suatu perilaku kebijakan dengna cara menghibur dan tetap ada pesan moralnya,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,texs anexdot adalah dimana orang menjelaskan secara rinci dan tieliti,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks laporan,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah tulisan singkat berisi cerita lucu sindiran,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah tujuan singkat berisi cerita lucu sindiran,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,menjelaskan suatu pemohonan,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat yang bersifat lucu menyindir biasanya digunakan mengeritik perilaku kebijakan atau keadaan tertentu,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah teks yang berupa hiburan dan ada mengandung sedikit sindiran,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,adalah cerita singkat yang berisi pujian kritikan pada suatu prilaku kebijakan dengan cara menghibur dan ttp ada pesan moralnya,jawaban siswa,10
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks yang berisi cerita lucu,jawaban siswa,0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,hasil teks observasi itu seperti teks deskripsi dengan mencatat sebuah benda dengan rinci,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho singkatan dari laporan hasil observasi lho merupakan laporan yang berisi hasil pengamatan terhadap suatu objek,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan hasill pengamatan yang mencatat secara fakta berdasarkan objektif dan strukturnya,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang untuk menyampaikan hasil laporan,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks lho adalah teks laporan observasi menjelaskan arti umum dari suatu objek hasil pengamatan langsung,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks lho adalah teks yang kita tulis dari melihat atau menonton suatu seperti hewan tumbuhan atau penjelasan secara rinci,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang mnjelaskan laporan yang berisi hasi pengamatan suatu objek tempat hewan tumbuhan d prsitiwa secara nyata,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,adalah teks yang berisi laporan hasil dari pengamatan observasi,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang berisi penjabaran umum dan laporan hasil pengamatan yang sistematis terhadap suatu objek benda hewan tumbuhan fenomena alam dan dan lain lain,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks observasi adalah teks laporan yang deskripsi nya berurutan seperti teks tutorial atau cara,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,berbicara sopan santun,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang menggunakan bahasa baku,jawaban siswa,0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan hasil observasi adalah teks yang kita tulis dari melihat atau menonton sesuatu seperti hewan tumbuhan dsb atau penjelasan secara rinci,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho singkat dari laporan hasi observasi lho merupakan laporan yang berisi hasi pengamatan terhadap suatu objek peristiwa teks atau dokumen yang memaparkan data dan informasi yang diperoleh melalui kegiatan observasi,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan observasi adalah dimana orang menulis cerita dengan sederhana tapi harus rinci,jawaban siswa,10
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang melaporkan sebuah hasil dari pengamatan observasi,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat humor,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,sindiran kritik,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur himor kelucuan berfungsi sebagai kritik sindiran sindiran,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,humor yang mengkritik sindiran halus,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,karya sastra lama,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung humor berdasarkan kejadian yang hampir nyata,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat sindiran,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat humor,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,humor elemen lucu yang membuat cerit amenghibur cerita singkat narasi ringkasan yang menyampiakan pesan,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor lelucon dan berfungsi sebagai kritik,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat sindiran,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,humor yang mnegeritik sindiran halus,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat humor,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,lucu kritik dan menyindir,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,laporan pehaman,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung kelucuan dan sindiran,jawaban kunci,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor hal lucu memiliki unsur sindiran kritik,jawaban siswa,10
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,ciri ciri teks anekdot mengandung kejadian unik berupa kata sindiran lelucon,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,teks laporan hasil pesan atau nilai,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak pembuka dari sebuah cerita oreantasi menjelaskan latar tokoh dan situasi krisis bagian ini dari kejadian luka reaksi seorang tokoh memberikan respon koda penutup dari sebuah cerita,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran krisis bagian inti,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka menarik prhatian pmbaca orientasi memberikan latar blkng cerita krisis mnjdi inti cerita reaksi penyelesaian koda penutup,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak krisis koda orientasi rekasi,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka cerita bagian awal yang memberikan gambaran umum orientasi bagian yang berfungsi untuk mengenalkan situasi reaksi tanggapan penyelesaian,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak orientasi krisis reaksi koda,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,berisi tentang hiburan dan sedikit berisi tentang sindiran ublik,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abraksi pembuka cerita orientasi mengenalkan situasi dan tokoh kritik masalah atau kejadian reaksi penyelesaian koda penutup pesan,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,paragraf pembukaan paragraf menjelaskan cerita kejadian paragraf penutupan,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi bagian pembuka yang memberi gambaran umum isi cerita biasanya untuk menarik perhatian prientasi bagian yang mengenalkan latar belakang seperti siapa tokohnya kapan dan dimana peristiwa terjadi krisis momen puncak konflik atau masalah yang membuat arti lucu dan reaksi tanggapan atau respon tokoh terhadap krisis seringkali disajikan dengan cara yang tidak terduga koda penutup cerita yang berisi kesimpulan pesan moral atau sindiran bagian bersikap opsional,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak gambaran umum orientasi menunjukkan latar belakang krisis puncak cerita yang berisi masala konflik reaksi tanggapan atau respon karakter krisis koda bagian penutup yang berisi kesimpulan,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi sebagai pembuka dari sebuah cerita orientasi sebagai penjelasan latar tokoh dan situasi krisis sebagai bagian inti kejadian lucu reaksi seorang tokoh memberikan respon koda sebagai penutup dari sebuah cerita dan kesimpulan,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi permulaan orientasi koda kesimpulan,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,artefak orientasi,jawaban siswa,0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak pembuka dari sebuah cerita oreantasi menjelaskan latar tokoh dan situasi krisis bagian ini dari kejadian lucu koda penutup dari sebuah cerita,jawaban siswa,10
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi orientasi krisis reaksi,jawaban siswa,8
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran cerita orientasi latar cerita memperkenalkan tokoh tempat dan waktu krisis bagian inti cerita reaksi tanggapan koda penutup cerita,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,toa,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abraksi areantasi kompinasi elavasi kode,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi gambaran cerita orientasi latar cerita komplikasi bagian inti masalah evaluasi bagian pembenaran resolusi solusi dalam cerita koda penutup,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,tema tokoh alur latar amanat,jawaban siswa,0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,objek orientasi pengenalan konplikasi konfik peristiwa resolusi penyelesaian kode penutupan,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi komplikasi elaqsi koda,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi pristiwa pneutup,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pengertian isi peristiwa penutup,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi famlikasi eramlikasi revolusi koda,jawaban siswa,5
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pengantar isi pristiwa penutup,jawaban siswa,0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi peristiwa penutup,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,inspiratif,jawaban siswa,0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi komplikasi evaluasi resolusi koda,jawaban siswa,8
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pendahuluan peristiwa penutup,jawaban kunci,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi peristiwa penting,jawaban siswa,0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,bahasa melayu lama karas dan sosok pahlawan,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi sebagai pembuka dari sebuah cerita oreantasi sebagai penjelasan latar tokoh dan situasi komflikasi sebagai permasalahan dari sebuah cerita evaluasi sebagai penyelesaian masalalu dari sebuah cerita koda sebagai penutup dari sebuah cerita,jawaban siswa,10
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi oreantasi komplikasi evaluasi koda,jawaban siswa,10
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh istimewah mengandung unsur khayalan melayu klasik,jawaban siswa,10
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat instanisentres prlogis mengunakan bahasa melayu lama,jawaban siswa,10
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh sakti alur sederhana penuh keajaiban,jawaban kunci,10
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mustahil istanasentris anonoim,jawaban siswa,10
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,adanya keajaiban tokohnya luar biasa,jawaban siswa,0
