question,answer,score
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abraksi = Pembuka cerita,
orientasi = mengenalkan situasi dan tokoh,
kritik = masalah atau kejadian,
reaksi = penyelesaian,
koda = penutup / Pesan",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,crita tradisional tentang tokoh luar biasah dengan unsur Fantasi,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mengandung unsur khayal, tokoh istimewa, melayu klasik",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Pengantar, isi / Pristiwa, penutup",0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",LHO = jangan buang sampah sembarangan karena menyebabkan banjir,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,LHO = Laporan berisi fakta dari hasil pengamatan,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"berisi fakta, Menggunakan bahasa baku, Disusun teratur dan jelas",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menyampaikan fakta hasil Pengamatan,5
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Cerita Pendek Yang lucu Sekaligus Menyindir,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Bersifat lucu dan Menghibur, Bersifat Menyindir / Mengkritik",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi = Pembuka Cerita / bagian awal Yang Memberikan Gambaran Umum,
Orientasi = Bagian yang berfungsi Untuk Mengenalkan Situasi,
reaksi = tanggapan / Penyelesaian",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat = Cerita tradisional tentang tokoh luar biasanya dengan Unsur fantasi,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Menampilkan tokoh istimewa, Menggunakan bahasa Melayu, Menggunakan Unsur Khayalan",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Pengertian, Isi / Peristiwa, Penutup",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",LHO = berisi fakta / Kenyataan Karena tidak buatan dan Penyampaian yang di beri berakurat atau tidak bohong dan tidak fiksi / di buat- buat,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"teks yang mnjelaskan laporan yang berisi hasi pengamatan suatu objek, tempat, hewan, tumbuhan, d prsitiwa secara nyata",10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Brsifat faktual, bersifat objektif, Disajikan scara sistematis",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,memberikan informasi yang akurat tntang objek yang diteliti/amati,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,"Yaitu teks yang menceritakan kejadian nyata / imajinatif yang  bersifat lucu, unik, menyampaikan pesan dg cara menyindir",10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"mengandung unsur humor (hal lucu), memiliki unsur sindiran / kritik",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi (pembuka) = menarik prhatian pmbaca,
orientasi = memberikan latar blkng cerita,
krisis = mnjdi inti cerita,
reaksi = penyelesaian,
koda = (penutup)",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"hikayat adalah karya sastra lama yang berisi cerita tntang tokoh-tokoh sprti raja, putri, dll",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"tokoh digambarkan luar biasa, mengandung unsur keajaiban / hal gaib, brsifat istana",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Pendahuluan (untuk membuka cerita),
Pristiwa (isi yang trjadi),
Penutup (penutup cerita)",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",teks anekdot = mmberi Pesan moral / kritik yang ingin dismpaikan Penulis melalui cerita lucu dan mnyindir,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Teks Laporan yaitu Teks yang awal mulainya tahu Kejadian,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Dimana, Kapan, dan Siapa",0
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,agar kita tidak susah mencari Laporan,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Cerita singkat yg berisi cerita cerita lucu / sindiran,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Pembahasan, Cerita Singkat",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Abstraksi = gambaran,
Krisis = bagian inti",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Karya satsra lama mlayu berbentuk prosa yg berisi cerita,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mustahil, istana, santris, anunim",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,abstraksi orientasi kompleks evatuasi,0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Pembahasan Jurusan menggunakan bhs baku secara sistem,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"(LHO) adalah secara singkat pengertian teks yang berisi penjabaran umum dan pelaporan hasil pengamatan yg sistematik terhadap suara objek (benda, hewan, tumbuhan, fenomena alam)",10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Ciri-ciri  Teks (LHO)
Objek & Ilmiah,
Sistematis & Terstruktur,
Bahasa baku & ilmiah,
Fokus pada objek Tunggal,
informatif,
Tidak ada prasangka",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,Tujuannya di buatnya (LHO) untuk melaporkan hasil Pengamatan secara sistematis agar dapat di pahami dan Di gunakan sebagai Landasan untuk tindakan atau Pemahaman Lebih lanjut.,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Teks anekdot adalah Tulisan singkat berisi cerita lucu / sindiran,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"cerita singkat, humor",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstrak = pembuka dari sebuah cerita
oreantasi = menjelaskan latar, Tokoh dan situasi
Krisis = bagian ini dari kejadian luka,
reaksi = Seorang tokoh memberikan respon
Koda = Penutup dari sebuah cerita",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"Hikayat adalah karya sastra mlayu klasik, hikayat Termasuk kedalam Teks cerita rakyat, juga cerita perkaan berisi cerita sisilah UDD  yg bersifat sejarah keagamaan dan dll.",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"Bersifat Tentang sentris, proogis / Tidak logis, statis / logis",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstraksi, oreantasi, komplikasi, evaluasi, koda",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","(LHO) adalah secara singkat pengertian teks yang berisi Penjabaran umum. Pesan yang biasanya di sampaikan penulis ialah : objek, sistematis, bahasa baku & ilmiah",10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,tulisan yg menyajikan informasi hasil pengamatan langsung terhadap objek tertentu,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"berdasarkan faktan dan pengamatan langsung, struktur terorganisir dan sistematis, bahasa jelas, tegas dan objektif",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk menyampaikan informasi akurat dan terpercaya tentang objek yang di amati kepada pembaca,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita singkat yang berisi pujian / keritikan pada suatu perilaku / kebijakan dengna cara menghibur dan tetap ada pesan moralnya,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,cerita singkat - sindiran,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Abstraksi = gambaran cerita,
orientasi = latar cerita, memperkenalkan tokoh, tempat dan waktu,
krisis = bagian inti cerita,
reaksi = tanggapan,
koda = penutup cerita",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,karya sastra prosa melayu yang berisi cerita / undangan undangan  yg bersifat keagamaan rekaan dan historis,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mustahil, istana sentris, anonim / menceritakan tentang tokoh pahalawan, mengandung unsur metologi, menyampaikan pesan moral",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Abstaksi = gambaran cerita,
orientasi = latas cerita,
komplikasi = bagian inti masalah,
evaluasi = bagian Pembenaran,
Resolusi = solusi dalam cerita,
koda = penutup",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",poin utama : kelebihan dan kesetiaan terhadap tanah air,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Teks LHO adalah teks Penjabaran umum suatu objek / Sesuatu berupa hasil pengamatan / Observasi,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"3 Ciri utama teks LHO
Disusun secara struktur, Menggunakan bahasa baku dan ilmiah, bersifat objektif.",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,Tujuan dibuatnya teks LHO adalah untuk menjelaskan informasi bedasarkan aoa yang diamati secara langsung,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Teks anekdot adalah teks yang berisi kritikan dan didalamnya terdapat lelucon / humor,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Ciri-ciri teks anekdot = Mengandung Kejadian unik, berupa kata Sindiran, Lelucon.",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"Struktur teks Anekdot
abstrak,
Orientasi = Pengenalan suatu kejadian,
Krisis = timbul masalah,
Rekasi = Menyelesaikan masalah,
Koda = Akhir Cerita / ending.",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"Teks Hikayat adalah Karya Sastra lama melayu berbentuk Prosa berisi Cerita, historis, kesaktian, kehebatan.",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"3 Ciri Khas Hikayat
Unsur fantastis,
ada Cerita Keajaiban,
Menggunakan bahasa melayu asli",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"Struktur teks Hikayat
Abstrak,
Orientasi = Pengenalan tokoh,
Komplikasi = munculnya suatu masalah,
Klimaks = ,
Resolusi = , 
Koda = ending ddari Cerita
Pendahuluan = pembuka cerita,
Peristiwa = isi dari cerita,
Penutup = ending dari cerita",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Teks Anekdot menyampaikan Pesan kritikan sindiran yang disampaikan penulis  lewat Cerita humoris - lelucon,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"LHO = Singkatan dari Laporan hasil observasi, LHO merupakan laporan yang berisi hasil pengamatan terhadap suatu objek",10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat objektif, data virtual dan menggunakan bahasa baku",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menyampaikan hasil pengamatan secara jelas dan virtual,8
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks yang berisi cerita lucu,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,mengandung unsur humor/ lelucon dan berfungsi sebagai kritik,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstrak = menarik perhatian pembaca,
krisis = membangun konflik",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,karya satra lama berbentuk prosa yang berisi cerita kehidupan tokoh dengan unsur keajaiban,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mengandung unsur fantastis, tokoh digambarkan luar biasa",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstrak, orientasi (pengenalan), konflikasi (konflik), Resolusi (Penyelasaian),  koda (penutup)",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",hikayat menurut saya karya sastra yang menceritakan tentang masa dahulu tokoh digambarkan sangat luar biasa,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"Lho = Singkat dari laporan hasi observasi. Lho merupakan laporan yang berisi  hasi pengamatan terhadap suatu objek Peristiwa, teks atau Dokumen yang memaparkan data dan informasi yang diperoleh melalui kegiatan observasi.",10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat objek, data Faktual, menggunakan bahasa baku dan jelas.",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menyampaikan hasil pengamatan secara jelas dan Faktual mendokumentasikan data hasil observasi,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks berisi singkat yang lucu / menggelitik memberikan Tujuan kritik.,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,mengandung unsur himor/kelucuan berfungsi sebagai kritik sindiran sindiran.,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"objek = menarik Perhatian Pembaca orientasi =  memberikan latar,
Krisis = membangun konflik reaksi =  memberikan belakang menyelesaikan.",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,Karya sastra Lama berbetuk proses yang berisi cerita kehidupan Tokoh dengan unsur keajaiban / kesaktian.,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,mengandung unsur fantastis Tokoh digambarkan luar biasa bertujuan menghibur/ pelajar moral,10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"objek orientasi (pengenalan, konplikasi konfik peristiwa) resolusi  (penyelesaian. Kode (penutupan)",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,Teks yang menggunakan bahasa baku,0
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat objek, faktual, Menggunakan bahasa baku dan jelas.",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menyapaikan hasil Pengamatan Scara jelas dn fktual.,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Teks berisi Cerita Singkat,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Mengandung unsur humor, mengandung kritik atau Sindiran.",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi, orientasi, krisis, Reaksi.",8
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,salah satu bentuk karya Sastra,0
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"kemustahilan, Istana Sentris, anonim",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"eksposisi / Orientasi komplikasi / Permasalahan, klimaks, Resolusi, koda.",0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","nilai, moral, nilai budaya, nilai sosial.",0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"Teks yg berisi penjabaran umum dan laporan hasil pengamatan yg sistematis terhadap suatu objek ( Benda, hewan, Tumbuhan, fenomena alam dan dll)",10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat sistematis, pembahasan, bahasa baku",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,Tujuannya untuk melaporkan hasil  pengamatan secara sistematis agar dapat dipahami dan digunakan Sebagai Landasan Tindakan / pemikiran lebih lanjut.,8
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Teks anekdot adalah Cerita singkat yg berisi cerita lucu / Sindiran,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Cerita Singkat, humor",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi (sebagai pembuka dari sebuah cerita), orientasi ( sebagai penjelasan latar, tokoh dan situasi), krisis (sebagai bagian inti kejadian lucu), reaksi (seorang tokoh memberikan respon), koda (sebagai penutup dari sebuah cerita dan kesimpulan).",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"Hikayat adalah karya sastra klasik melayu, Hikayat juga termasuk ke dalam cerita rakyat, cerita kraan Cerita Silsilah, UDD, bersifat keagamaan dan dll",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"bersifat intonatif, praogis/tidak logis, statis/logis",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstraksi (sebagai pembuka dari sebuah cerita), oreantasi (sebagai penjelasan latar, tokoh, dan situasi), komflikasi (Sebagai permasalahan dari sebuah cerita), evaluasi (Sebagai penyelesaian masalalu dari sebuah cerita), koda (Sebagai penutup dari sebuah cerita)",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",Setelah seseorang mempelajari Teks LHO seorang dapat memahami apa yg di  di amati dgn jelas.,0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"Teks Laporan Hasil Observasi adalah teks yang berisi laporan tentang pemahaman secara Faktual, akurat, dan sistematis",10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat faktual, objektif, sistematis",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,"agar untuk memahami suatu objek secara Faktual, akurat, dan sistematis",0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks Anekdot ialah sebuah teks yang tentang mengkritik,0
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"mencari tahu, menyelidiki, berisi tentang mengkritik",0
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi = permulaan,
orientasi,
koda = kesimpulan",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,teks yang berisi tentang aneka lucu serta Pelajaran Penting.,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"adanya keajaiban, tokohnya luar biasa",0
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,inspiratif,0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","LHO (Agar lebih mudah dalam meneliti, mendeskripsikan)",0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks LHO adalah teks laporan observasi / menjelaskan arti umum dari Suatu objek hasil Pengamatan langsung,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"berisi Pembahasan tentang Suatu objek, disusun secara Sistematis, terdapat perincian bagian Suatu Objek",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,tujuan teks laporan hasil observasi adalah untuk menyampaikan Informasi Faktual tentang Suatu objek atau peristiwa,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,"cerita Singkat yang bersifat lucu/menyindir. Biasanya digunakan mengeritik Perilaku, kebijakan atau keadaan tertentu",10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"cerita Singkat, menyindiri",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi, orientasi, krisis, Reaksi, koda",8
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,hikayat merupakan karya Sastra melayu klasik berupa Prosa,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"menggunakan bahasa melayu, bersifat intonatif, pratogis",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"abstraksi, komunikasi, orientasi, Evaluasi, koda, resolusi",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",anekdhot = mengritik orang yang maupun ngeritik baik atau buruk dan menyindir. Menyindir biasanya menyindir orang entah itu sindiran baik atau buruk.,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks observasi adalah teks Laporan yang deskripsi nya berurutan seperti teks tutorial atau cara,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,deskripsi nya bersetep / berurut - berdeskripsi jelas menunjukan cara / tutorial,10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menunjukan cara bagaimana atau mamahami teks observasi,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks anekdot adalah teks yang berupa hiburan dan ada mengandung sedikit sindiran,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,Sindiran Publik dan sindiran Lingkungan,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"berisi tentang hiburan, dan sedikit berisi tentang sindiran ublik",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,"hikayat adalah sebuah cerita Legenda, orang melayu",10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,menggunakan bahasa melayu lama - menceritakan sosok pahlawan - tokoh terkenal,10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,bahasa melayu lama / karas dan sosok pahlawan,10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","teks anekdok pesan yang disampaikan, jangan bersikap tidak adil di hadapan Publik",10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,teks yang berisi penjabaran umum dan pelaporan hasil pengamatan yang sistematis terhadap suatu objek,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bahasa baku dan ilmiah, fokus pada objek tunggal",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk melaporkan hasil pengamtaan secara sistematis agar dpt di pahami dan digunakan sebagai landasan untuk tindakan / pemahaman lebih.,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,teks anekdot adalah tujuan singkat berisi cerita lucu / sindiran,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"cerita singkat, humor",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstrak = pembuka dari sebuah cerita
oreantasi = menjelaskan latar, Tokoh dan situasi
Krisis = bagian ini dari kejadian lucu,
Koda = Penutup dari sebuah cerita",10
