Mata Pelajaran_clean,Soal_clean,Jawaban_clean,Keterangan_clean,Skor
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,jawaban siswa,10.0
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,texs anexdot adalah dimana orang menjelaskan secara rinci dan tieliti,jawaban siswa,10.0
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah cerita singkat yang bersifat lucu atau menyindir biasanya digunakan untuk mengkritik prilaku kebijakan atau keadaan tertentu dengan cara yang menghibur tetapi tetap memiliki pesan moral,jawaban siswa,10.0
bahasa indonesia,jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks laporan,jawaban siswa,10.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho laporan berisi fakta dari hasil pengamatan,jawaban siswa,10.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang menggunakan bahasa baku,jawaban siswa,0.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,adalah teks yang berisi laporan hasil dari pengamatan observasi,jawaban siswa,10.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan hasil observasi adalah teks yang berisi penjabaran umum atau laporan faktual tentang suatu objek,jawaban siswa,10.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang mnjelaskan laporan yang berisi hasi pengamatan suatu objek tempat hewan tumbuhan d prsitiwa secara nyata,jawaban siswa,10.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang berisi penjabaran umum dan pelaporan hasil pengamatan yang sistematis terhadap suatu objek,jawaban siswa,10.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan yaitu teks yang awal mulainya tahu kejadian,jawaban siswa,10.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho singkat dari laporan hasi observasi lho merupakan laporan yang berisi hasi pengamatan terhadap suatu objek peristiwa teks atau dokumen yang memaparkan data dan informasi yang diperoleh melalui kegiatan observasi,jawaban siswa,10.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan berisi fajta dan hasil pengalaman,jawaban siswa,10.0
bahasa indonesia,jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,menjelaskan ciri ciri umum dari satu objek atau fenomena berdasarkan hasil pengamatan langsung objeknya bisa berupa benda hewan tumbuhan dan fenomena alam,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,lucu menyindir,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat humor,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mencari tahu menyelidiki berisi tentang mengkritik,jawaban siswa,0.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,lucu kritik dan menyindir,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,bersifat lucu dan menghibur bersifat menyindir mengkritik,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,menyindir dan lucu,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,ciri ciri teks anekdot mengandung kejadian unik berupa kata sindiran lelucon,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,sindiran publik dan sindiran lingkungan,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung humor berdasarkan kejadian yang hampir nyata,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat menyindiri,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,humor yang mengkritik sindiran halus,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,laporan pehaman,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,karya sastra lama,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,paragraf tokoh,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,pembahasan cerita singkat,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor lelucon dan berfungsi sebagai kritik,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung humor berdasarkan kejadian yang hampir nyala,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur himor kelucuan berfungsi sebagai kritik sindiran sindiran,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur lucu mengeritik atau sindiran,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor hal lucu memiliki unsur sindiran kritik,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor mengandung kritik atau sindiran,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,humor yang mnegeritik sindiran halus,jawaban siswa,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung kelucuan dan sindiran,jawaban kunci,10.0
bahasa indonesia,sebutkan dua ciri yang selalu ada dalam teks anekdot,sindiran kritik,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,teks laporan hasil pesan atau nilai,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak pembuka dari sebuah cerita oreantasi menjelaskan latar tokoh dan situasi krisis bagian ini dari kejadian luka reaksi seorang tokoh memberikan respon koda penutup dari sebuah cerita,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak orientasi krisis reaksi koda,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,kata kata,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi orientasi krisis reaksi,jawaban siswa,8.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran cerita orientasi latar cerita memperkenalkan tokoh tempat dan waktu krisis bagian inti cerita reaksi tanggapan koda penutup cerita,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi orientasi krisis reaksi koda,jawaban kunci,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,memahami suatu struktur secara detail,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,artefak orientasi,jawaban siswa,0.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,berisi tentang hiburan dan sedikit berisi tentang sindiran ublik,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka orientasi mengenalkan kritik masalah reaksi penyelesaian koda penutupan,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abraksi pembuka cerita orientasi mengenalkan situasi dan tokoh kritik masalah atau kejadian reaksi penyelesaian koda penutup pesan,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka menarik prhatian pmbaca orientasi memberikan latar blkng cerita krisis mnjdi inti cerita reaksi penyelesaian koda penutup,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,objek menarik perhatian pembaca orientasi memberikan latar krisis membangun konflik reaksi memberikan belakang menyelesaikan,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka cerita bagian awal yang memberikan gambaran umum orientasi bagian yang berfungsi untuk mengenalkan situasi reaksi tanggapan penyelesaian,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka cerita orietasi mengenalkan situasi dan tokoh,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi bagian pembuka yang memberi gambaran umum isi cerita biasanya untuk menarik perhatian prientasi bagian yang mengenalkan latar belakang seperti siapa tokohnya kapan dan dimana peristiwa terjadi krisis momen puncak konflik atau masalah yang membuat arti lucu dan reaksi tanggapan atau respon tokoh terhadap krisis seringkali disajikan dengan cara yang tidak terduga koda penutup cerita yang berisi kesimpulan pesan moral atau sindiran bagian bersikap opsional,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak gambaran umum orientasi menunjukkan latar belakang krisis puncak cerita yang berisi masala konflik reaksi tanggapan atau respon karakter krisis koda bagian penutup yang berisi kesimpulan,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi permulaan orientasi koda kesimpulan,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,pembuka isi penutup,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran krisis bagian inti,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,struktur teks anekdot abstrak orientasi pengenalan suatu kejadian krisis timbul masalah rekasi menyelesaikan masalah koda akhir cerita ending,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak pembuka dari sebuah cerita oreantasi menjelaskan latar tokoh dan situasi krisis bagian ini dari kejadian lucu koda penutup dari sebuah cerita,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak krisis koda orientasi rekasi,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi famlikasi eramlikasi revolusi koda,jawaban siswa,5.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,toa,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pengertian isi peristiwa penutup,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,tema tokoh alur latar amanat,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi gambaran cerita orientasi latar cerita komplikasi bagian inti masalah evaluasi bagian pembenaran resolusi solusi dalam cerita koda penutup,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,tema tokoh alur latar alamat,jawaban siswa,0.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abraksi areantasi kompinasi elavasi kode,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,struktur teks hikayat abstrak orientasi pengenalan tokoh komplikasi munculnya suatu masalah klimaks resolusi koda ending ddari cerita pendahuluan pembuka cerita peristiwa isi dari cerita penutup ending dari cerita,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,bahasa melayu lama karas dan sosok pahlawan,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,menjelaskan suatu penerima dan karya sastra lama,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi peristiwa penting,jawaban siswa,0.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi komplikasi elaqsi koda,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pendahuluan peristiwa penutup,jawaban kunci,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,objek orientasi pengenalan konplikasi konfik peristiwa resolusi penyelesaian kode penutupan,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstaksi gambaran cerita orientasi latas cerita komplikasi bagian inti masalah evaluasi bagian pembenaran resolusi solusi dalam cerita koda penutup,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi peristiwa penutup,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,eksposisi orientasi komplikasi permasalahan klimaks resolusi koda,jawaban siswa,0.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pengantar isi pristiwa penutup,jawaban siswa,0.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi oreantasi komplikasi evaluasi koda,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi pristiwa pneutup,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi kompleks evatuasi,jawaban siswa,0.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,inspiratif,jawaban siswa,0.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,teks gambar karya sastra lama laporan hasil pesan atau nilai,jawaban siswa,10.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi komplikasi evaluasi resolusi koda,jawaban siswa,8.0
bahasa indonesia,sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi sebagai pembuka dari sebuah cerita oreantasi sebagai penjelasan latar tokoh dan situasi komflikasi sebagai permasalahan dari sebuah cerita evaluasi sebagai penyelesaian masalalu dari sebuah cerita koda sebagai penutup dari sebuah cerita,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur khayal tokoh istimewa melayu klasik,jawaban siswa,0.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur fantastis tokoh digambarkan luar biasa,jawaban siswa,0.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mustahil istana sentris anonim menceritakan tentang tokoh pahalawan mengandung unsur metologi menyampaikan pesan moral,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,kemustahilan istana sentris anonim,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,pembuka pengantar penutup,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,adanya keajaiban tokohnya luar biasa,jawaban siswa,0.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur fantastis bersifat turun temurun cerita berdasarkan kejadian,jawaban siswa,5.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,pesan moral kritikan atau nilai,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat istanasentris pralogis menggunakan bahasa melayu lama,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat intanosantris tidak logis staris logis,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri utama dari teks laporan hasil observasi,menjaga toleransi menolong dan membantu orang sakit,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri utama dari teks laporan hasil observasi,brsifat faktual bersifat objektif disajikan scara sistematis,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri utama dari teks laporan hasil observasi,berisi pembahasan tentang suatu objek disusun secara sistematis terdapat perincian bagian suatu objek,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objek faktual menggunakan bahasa baku dan jelas,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif disusun sistematis ditulis berdasarkan fakta,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri utama dari teks laporan hasil observasi,abstraksi,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objek data faktual menggunakan bahasa baku dan jelas,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri utama dari teks laporan hasil observasi,deskripsi nya bersetep berurut berdeskripsi jelas menunjukan cara tutorial,jawaban siswa,10.0
bahasa indonesia,sebutkan tiga ciri utama dari teks laporan hasil observasi,lucu meggelitik,jawaban siswa,10.0
